complaint_text,category,urgency
Faced an issue: This is urgent. It says my account doesn't exist when I try to log in. Please resolve this ASAP.,Login Trouble,low
"My card was declined without any reason, even though it's active.",Payment Issue,high
It seems like this is urgent. the login page won’t load at all. please resolve this asap.,Login Trouble,low
There are scratches and dents all over the product.,Product Damage,low
"Every time I open the application, it crashes unexpectedly.",Technical Issue,low
Having trouble because this is urgent. i'm facing constant glitches while navigating the dashboard. please resolve this asap.,Technical Issue,medium
Faced an issue: The login page won’t load at all. I need immediate assistance. It's very urgent.,Login Trouble,low
"Every time I reach out, I get a different answer.",Service Issue,low
"Every time I open the app, it stops working unexpectedly. I need immediate assistance. It's very urgent.",Technical Issue,medium
My issue hasn’t been resolved for over a month. It's quite frustrating.,Customer Support,high
"Having trouble because instead of a phone, i got a pair of headphones. kindly look into it soon.",Wrong Item,high
Having trouble because some buttons don’t respond when tapped. i need immediate assistance. it's very urgent.,App Bug,high
I was charged twice for the same transaction. Kindly look into it soon. It's quite frustrating.,Payment Issue,high
The screen is cracked right out of the box. I need immediate assistance. It's very urgent.,Product Damage,low
It says my account doesn't exist when I try to log in. It's quite frustrating.,Login Trouble,high
Having trouble because the box contained something completely unrelated. kindly look into it soon.,Wrong Item,low
The screen is cracked right out of the box.,Product Damage,high
It seems like i reset my password but still can’t access my account.,Login Trouble,medium
I keep getting logged out every few minutes. Kindly look into it soon.,Login Trouble,medium
Faced an issue: I'm facing constant glitches while navigating the dashboard. Kindly look into it soon.,Technical Issue,high
This is urgent. There are unauthorized activities showing up in my account. Please resolve this ASAP.,Account Issue,low
This is urgent. Technical support hasn’t resolved my issue after multiple attempts. Please resolve this ASAP. It's quite frustrating.,Technical Issue,high
I can’t access my account despite entering the correct password. It's quite frustrating.,Account Issue,medium
My payment was deducted but the order didn’t go through. Kindly look into it soon.,Payment Issue,medium
"It seems like my card was declined without any reason, even though it's active.",Payment Issue,low
I’ve submitted multiple tickets but no one responds. I need immediate assistance. It's very urgent.,Customer Support,high
I received a different color and size than what I ordered. Kindly look into it soon.,Wrong Item,high
It seems like it looks like the product was previously used. i need immediate assistance. it's very urgent.,Product Damage,medium
"It seems like this is urgent. every time i reach out, i get a different answer. please resolve this asap.",Service Issue,high
My package is marked as shipped but hasn’t arrived for over a week. Kindly look into it soon.,Delivery Delay,low
There are unauthorized activities showing up in my account. I need immediate assistance. It's very urgent. It's quite frustrating.,Account Issue,low
I’m unable to update my email or phone number. I need immediate assistance. It's very urgent.,Account Issue,low
It seems like the box contained something completely unrelated.,Wrong Item,low
This is not the product I paid for. I need immediate assistance. It's very urgent.,Wrong Item,high
Faced an issue: This is urgent. The payment gateway shows an error every time I try to pay. Please resolve this ASAP.,Payment Issue,low
The app closes automatically after I open it. Kindly look into it soon. It's quite frustrating.,App Bug,high
No one seems to take ownership of my complaint. Kindly look into it soon.,Customer Support,high
Faced an issue: This is urgent. My account was suspended without any notification. Please resolve this ASAP.,Account Issue,high
It seems like the app closes automatically after i open it. i need immediate assistance. it's very urgent.,App Bug,medium
It seems like i’m unable to update my email or phone number.,Account Issue,low
"Faced an issue: Every time I reach out, I get a different answer. Kindly look into it soon.",Service Issue,low
Having trouble because this is urgent. there are unauthorized activities showing up in my account. please resolve this asap.,Account Issue,low
The box contained something completely unrelated. Kindly look into it soon. It's quite frustrating.,Wrong Item,medium
Having trouble because the website isn’t responding when i click on certain links. i need immediate assistance. it's very urgent.,Technical Issue,low
The item is stuck in transit and no one is helping. Kindly look into it soon.,Delivery Delay,low
This is urgent. There are scratches and dents all over the product. Please resolve this ASAP.,Product Damage,low
This is urgent. I can’t update the app from the store. Please resolve this ASAP. It's quite frustrating.,App Bug,high
Having trouble because this is urgent. the representative was rude and unhelpful. please resolve this asap.,Service Issue,high
The delivery was promised within 3 days but it's been over a week. I need immediate assistance. It's very urgent.,Delivery Delay,medium
The box contained something completely unrelated. I need immediate assistance. It's very urgent.,Wrong Item,medium
Having trouble because this is urgent. i'm facing constant glitches while navigating the dashboard. please resolve this asap.,Technical Issue,low
Some buttons don’t respond when tapped. Kindly look into it soon.,App Bug,low
It seems like this is urgent. the screen is cracked right out of the box. please resolve this asap.,Product Damage,high
Having trouble because i had to wait for 40 minutes to talk to someone. kindly look into it soon.,Service Issue,high
Faced an issue: I can’t update the app from the store. Kindly look into it soon.,App Bug,low
Having trouble because the packaging was torn and the contents were damaged. kindly look into it soon.,Product Damage,medium
The payment gateway shows an error every time I try to pay. Kindly look into it soon.,Payment Issue,high
I had to wait for 40 minutes to talk to someone. I need immediate assistance. It's very urgent.,Service Issue,low
Having trouble because technical support hasn’t resolved my issue after multiple attempts. kindly look into it soon.,Technical Issue,medium
Having trouble because this is urgent. i reset my password but still can’t access my account. please resolve this asap.,Login Trouble,medium
I had to wait for 40 minutes to talk to someone. I need immediate assistance. It's very urgent.,Service Issue,low
The app closes automatically after I open it. I need immediate assistance. It's very urgent.,App Bug,low
The item is stuck in transit and no one is helping. Kindly look into it soon.,Delivery Delay,high
The payment gateway shows an error every time I try to pay.,Payment Issue,low
Faced an issue: There’s no tracking update for my order.,Delivery Delay,low
Having trouble because the item arrived broken and unusable.,Product Damage,high
My package is marked as shipped but hasn’t arrived for over a week. I need immediate assistance. It's very urgent.,Delivery Delay,medium
Having trouble because this is urgent. the resolution time is way too long for such a basic issue. please resolve this asap.,Service Issue,low
This is urgent. There are unauthorized activities showing up in my account. Please resolve this ASAP. It's quite frustrating.,Account Issue,low
Faced an issue: Customer service keeps transferring my call.,Customer Support,medium
There are unauthorized activities showing up in my account.,Account Issue,high
"My order slip is correct, but the item is wrong. I need immediate assistance. It's very urgent.",Wrong Item,low
"Faced an issue: My card was declined without any reason, even though it's active.",Payment Issue,low
Having trouble because this is urgent. i keep getting logged out every few minutes. please resolve this asap.,Login Trouble,low
"Faced an issue: Every time I reach out, I get a different answer. Kindly look into it soon.",Service Issue,high
It looks like the product was previously used.,Product Damage,low
"My card was declined without any reason, even though it's active. Kindly look into it soon. It's quite frustrating.",Payment Issue,high
I'm facing constant glitches while navigating the dashboard. Kindly look into it soon.,Technical Issue,medium
I waited the whole day but the delivery never happlicationened. Kindly look into it soon.,Delivery Delay,high
"It seems like this is urgent. every time i reach out, i get a different answer. please resolve this asap.",Service Issue,low
My payment was deducted but the order didn’t go through. I need immediate assistance. It's very urgent. It's quite frustrating.,Payment Issue,high
I reset my password but still can’t access my account. Kindly look into it soon.,Login Trouble,high
The resolution time is way too long for such a basic issue. It's quite frustrating.,Service Issue,high
The system keeps freezing when I try to upload my documents. I need immediate assistance. It's very urgent. It's quite frustrating.,Technical Issue,medium
"It seems like my card was declined without any reason, even though it's active. i need immediate assistance. it's very urgent.",Payment Issue,medium
The delivery was promised within 3 days but it's been over a week. Kindly look into it soon.,Delivery Delay,medium
There are unauthorized activities showing up in my account. Kindly look into it soon.,Account Issue,low
Faced an issue: This is urgent. The representative was rude and unhelpful. Please resolve this ASAP.,Service Issue,high
Having trouble because my package is marked as shipped but hasn’t arrived for over a week. kindly look into it soon.,Delivery Delay,high
Faced an issue: My profile details got changed without my knowledge.,Account Issue,low
Faced an issue: This is urgent. I requested a refund but haven't received it yet. Please resolve this ASAP.,Payment Issue,low
It seems like the box contained something completely unrelated. kindly look into it soon.,Wrong Item,low
Faced an issue: I waited the whole day but the delivery never happened. Kindly look into it soon.,Delivery Delay,low
It seems like the packaging was torn and the contents were damaged. kindly look into it soon.,Product Damage,low
The application layout is broken on my phone. I need immediate assistance. It's very urgent.,App Bug,high
Technical support hasn’t resolved my issue after multiple attempts. Kindly look into it soon. It's quite frustrating.,Technical Issue,high
This is urgent. My package is marked as shipped but hasn’t arrived for over a week. Please resolve this ASAP. It's quite frustrating.,Delivery Delay,high
Having trouble because i can’t access my account despite entering the correct password. i need immediate assistance. it's very urgent.,Account Issue,low
I can’t update the app from the store. Kindly look into it soon. It's quite frustrating.,App Bug,high
Faced an issue: The system keeps freezing when I try to upload my documents. I need immediate assistance. It's very urgent.,Technical Issue,low
The payment gateway shows an error every time I try to pay. I need immediate assistance. It's very urgent.,Payment Issue,low
"My order slip is correct, but the item is wrong. I need immediate assistance. It's very urgent. It's quite frustrating.",Wrong Item,high
Having trouble because i requested a refund but haven't received it yet. kindly look into it soon.,Payment Issue,medium
"This is urgent. Every time I open the app, it crashes unexpectedly. Please resolve this ASAP. It's quite frustrating.",Technical Issue,high
I’ve submitted multiple tickets but no one responds. I need immediate assistance. It's very urgent.,Customer Support,medium
It seems like the screen is cracked right out of the box. kindly look into it soon.,Product Damage,low
Faced an issue: Customer service keeps transferring my call. Kindly look into it soon.,Customer Support,medium
It seems like my profile details got changed without my knowledge. kindly look into it soon.,Account Issue,medium
They keep closing my ticket without a resolution. Kindly look into it soon.,Customer Support,low
The payment gateway shows an error every time I try to pay. Kindly look into it soon.,Payment Issue,medium
It seems like i had to wait for 40 minutes to talk to someone.,Service Issue,low
The app closes automatically after I open it. I need immediate assistance. It's very urgent.,App Bug,low
This is urgent. My profile details got changed without my knowledge. Please resolve this ASAP.,Account Issue,high
Faced an issue: It looks like the product was previously used. Kindly look into it soon.,Product Damage,high
Having trouble because i can’t update the app from the store. kindly look into it soon.,App Bug,low
The login page won’t load at all.,Login Trouble,high
My two-factor authentication code never arrives. Kindly look into it soon.,Login Trouble,medium
The item is stuck in transit and no one is helping. Kindly look into it soon. It's quite frustrating.,Delivery Delay,high
My issue hasn’t been resolved for over a month. Kindly look into it soon. It's quite frustrating.,Customer Support,low
The system keeps freezing when I try to upload my documents. It's quite frustrating.,Technical Issue,high
It seems like this is urgent. there are scratches and dents all over the product. please resolve this asap.,Product Damage,low
My profile details got changed without my knowledge. I need immediate assistance. It's very urgent.,Account Issue,medium
This is urgent. Customer service keeps transferring my call. Please resolve this ASAP.,Customer Support,medium
This is urgent. My profile details got changed without my knowledge. Please resolve this ASAP.,Account Issue,high
"Faced an issue: My order slip is correct, but the item is wrong. I need immediate assistance. It's very urgent.",Wrong Item,medium
Faced an issue: I received a different color and size than what I ordered.,Wrong Item,low
This is urgent. The support team gave me incorrect information. Please resolve this ASAP. It's quite frustrating.,Service Issue,low
The support team gave me incorrect information. I need immediate assistance. It's very urgent.,Service Issue,low
I reset my password but still can’t access my account. I need immediate assistance. It's very urgent. It's quite frustrating.,Login Trouble,low
"It seems like my card was declined without any reason, even though it's active. kindly look into it soon.",Payment Issue,low
It seems like some buttons don’t respond when tapped. i need immediate assistance. it's very urgent.,App Bug,medium
I’m unable to update my email or phone number. Kindly look into it soon. It's quite frustrating.,Account Issue,low
I can’t access my account despite entering the correct password. Kindly look into it soon. It's quite frustrating.,Account Issue,low
"Faced an issue: This is urgent. Every time I reach out, I get a different answer. Please resolve this ASAP.",Service Issue,medium
The app layout is broken on my phone. I need immediate assistance. It's very urgent. It's quite frustrating.,App Bug,high
"Instead of a phone, I got a pair of headphones.",Wrong Item,medium
My profile details got changed without my knowledge.,Account Issue,medium
The payment gateway shows an error every time I try to pay. Kindly look into it soon.,Payment Issue,medium
The website isn’t responding when I click on certain links. It's quite frustrating.,Technical Issue,low
Faced an issue: They keep closing my ticket without a resolution.,Customer Support,high
Faced an issue: This is urgent. My profile details got changed without my knowledge. Please resolve this ASAP.,Account Issue,low
It seems like this is urgent. the app layout is broken on my phone. please resolve this asap.,App Bug,low
It seems like they keep closing my ticket without a resolution. kindly look into it soon.,Customer Support,low
I can’t update the app from the store. I need immediate assistance. It's very urgent.,App Bug,low
Faced an issue: My issue hasn’t been resolved for over a month. I need immediate assistance. It's very urgent.,Customer Support,low
The item is stuck in transit and no one is helping. It's quite frustrating.,Delivery Delay,high
Having trouble because no one seems to take ownership of my complaint. kindly look into it soon.,Customer Support,low
Faced an issue: The payment gateway shows an error every time I try to pay. Kindly look into it soon.,Payment Issue,high
Having trouble because this is urgent. the screen is cracked right out of the box. please resolve this asap.,Product Damage,low
This is urgent. The box contained something completely unrelated. Please resolve this ASAP. It's quite frustrating.,Wrong Item,medium
Faced an issue: This is urgent. They keep closing my ticket without a resolution. Please resolve this ASAP.,Customer Support,low
"Having trouble because this is urgent. every time i reach out, i get a different answer. please resolve this asap.",Service Issue,medium
I had to wait for 40 minutes to talk to someone. I need immediate assistance. It's very urgent.,Service Issue,high
Having trouble because this is urgent. it looks like the product was previously used. please resolve this asap.,Product Damage,low
It seems like the system keeps freezing when i try to upload my documents. i need immediate assistance. it's very urgent.,Technical Issue,high
It seems like they keep closing my ticket without a resolution. i need immediate assistance. it's very urgent.,Customer Support,medium
This is urgent. The screen is cracked right out of the box. Please resolve this ASAP.,Product Damage,high
I can’t update the app from the store.,App Bug,high
"It seems like instead of a phone, i got a pair of headphones. i need immediate assistance. it's very urgent.",Wrong Item,medium
There’s no tracking update for my order.,Delivery Delay,medium
Technical support hasn’t resolved my issue after multiple attempts. Kindly look into it soon.,Technical Issue,low
Faced an issue: This is urgent. The delivery was promised within 3 days but it's been over a week. Please resolve this ASAP.,Delivery Delay,high
This is urgent. The item is stuck in transit and no one is helping. Please resolve this ASAP.,Delivery Delay,medium
Having trouble because i can’t update the app from the store. i need immediate assistance. it's very urgent.,App Bug,medium
The system keeps freezing when I try to upload my documents. Kindly look into it soon.,Technical Issue,medium
I keep getting logged out every few minutes. It's quite frustrating.,Login Trouble,high
It seems like customer service keeps transferring my call. i need immediate assistance. it's very urgent.,Customer Support,high
Faced an issue: It says my account doesn't exist when I try to log in. I need immediate assistance. It's very urgent.,Login Trouble,low
This is urgent. I waited the whole day but the delivery never happened. Please resolve this ASAP. It's quite frustrating.,Delivery Delay,medium
It seems like it says my account doesn't exist when i try to log in. kindly look into it soon.,Login Trouble,high
Having trouble because the item is stuck in transit and no one is helping.,Delivery Delay,low
"This is urgent. Instead of a phone, I got a pair of headphones. Please resolve this ASAP.",Wrong Item,medium
This is not the product I paid for. I need immediate assistance. It's very urgent.,Wrong Item,low
The packaging was torn and the contents were damaged. Kindly look into it soon.,Product Damage,low
I'm facing constant glitches while navigating the dashboard.,Technical Issue,medium
"It seems like every time i reach out, i get a different answer.",Service Issue,high
This is urgent. The screen is cracked right out of the box. Please resolve this ASAP.,Product Damage,high
My profile details got changed without my knowledge. Kindly look into it soon.,Account Issue,medium
I waited the whole day but the delivery never happlicationened. I need immediate assistance. It's very urgent.,Delivery Delay,high
The website isn’t responding when I click on certain links. It's quite frustrating.,Technical Issue,high
This is urgent. The screen is cracked right out of the box. Please resolve this ASAP.,Product Damage,low
Faced an issue: This is urgent. Push notifications are not working properly. Please resolve this ASAP.,App Bug,low
This is urgent. This is not the product I paid for. Please resolve this ASAP.,Wrong Item,high
Faced an issue: I keep getting logged out every few minutes. I need immediate assistance. It's very urgent.,Login Trouble,medium
It seems like my two-factor authentication code never arrives.,Login Trouble,low
It seems like this is urgent. there are unauthorized activities showing up in my account. please resolve this asap.,Account Issue,medium
It seems like customer service keeps transferring my call. kindly look into it soon.,Customer Support,low
I reset my password but still can’t access my account. I need immediate assistance. It's very urgent.,Login Trouble,medium
It seems like the item arrived broken and unusable. i need immediate assistance. it's very urgent.,Product Damage,low
The delivery was promised within 3 days but it's been over a week. Kindly look into it soon. It's quite frustrating.,Delivery Delay,high
"Having trouble because my card was declined without any reason, even though it's active. kindly look into it soon.",Payment Issue,low
"It seems like this is urgent. my order slip is correct, but the item is wrong. please resolve this asap.",Wrong Item,low
My two-factor authentication code never arrives. Kindly look into it soon. It's quite frustrating.,Login Trouble,high
No one seems to take ownership of my complaint. I need immediate assistance. It's very urgent. It's quite frustrating.,Customer Support,low
Having trouble because i keep getting logged out every few minutes. kindly look into it soon.,Login Trouble,low
The representative was rude and unhelpful. I need immediate assistance. It's very urgent. It's quite frustrating.,Service Issue,high
Having trouble because my two-factor authentication code never arrives. kindly look into it soon.,Login Trouble,low
"My order slip is correct, but the item is wrong. I need immediate assistance. It's very urgent.",Wrong Item,low
Faced an issue: The item arrived broken and unusable.,Product Damage,high
Push notifications are not working properly. I need immediate assistance. It's very urgent.,App Bug,low
The website isn’t responding when I click on certain links. It's quite frustrating.,Technical Issue,low
It seems like this is urgent. there are scratches and dents all over the product. please resolve this asap.,Product Damage,high
The app closes automatically after I open it. It's quite frustrating.,App Bug,low
It seems like this is urgent. i reset my password but still can’t access my account. please resolve this asap.,Login Trouble,high
This is urgent. The login page won’t load at all. Please resolve this ASAP.,Login Trouble,high
Having trouble because i was charged twice for the same transaction. i need immediate assistance. it's very urgent.,Payment Issue,low
It seems like customer service keeps transferring my call.,Customer Support,medium
Having trouble because the app closes automatically after i open it. i need immediate assistance. it's very urgent.,App Bug,medium
I received a different color and size than what I ordered. Kindly look into it soon.,Wrong Item,medium
The representative was rude and unhelpful. I need immediate assistance. It's very urgent. It's quite frustrating.,Service Issue,high
"It seems like every time i open the app, it crashes unexpectedly. i need immediate assistance. it's very urgent.",Technical Issue,low
I can’t access my account despite entering the correct password. Kindly look into it soon.,Account Issue,low
This is urgent. Customer service keeps transferring my call. Please resolve this ASAP. It's quite frustrating.,Customer Support,high
This is urgent. The packaging was torn and the contents were damaged. Please resolve this ASAP. It's quite frustrating.,Product Damage,medium
My account was suspended without any notification. I need immediate assistance. It's very urgent.,Account Issue,low
I can’t access my account despite entering the correct password. Kindly look into it soon. It's quite frustrating.,Account Issue,medium
"This is urgent. Instead of a phone, I got a pair of headphones. Please resolve this ASAP.",Wrong Item,medium
Having trouble because this is urgent. the delivery was promised within 3 days but it's been over a week. please resolve this asap.,Delivery Delay,medium
Faced an issue: I was charged twice for the same transaction.,Payment Issue,low
I reset my password but still can’t access my account. Kindly look into it soon.,Login Trouble,low
I reset my password but still can’t access my account. Kindly look into it soon.,Login Trouble,medium
It seems like i received a different color and size than what i ordered. kindly look into it soon.,Wrong Item,medium
This is urgent. My account was suspended without any notification. Please resolve this ASAP.,Account Issue,high
Having trouble because there are unauthorized activities showing up in my account.,Account Issue,medium
This is urgent. The delivery was promised within 3 days but it's been over a week. Please resolve this ASAP. It's quite frustrating.,Delivery Delay,low
It seems like the packaging was torn and the contents were damaged.,Product Damage,low
The representative was rude and unhelpful. I need immediate assistance. It's very urgent. It's quite frustrating.,Service Issue,medium
No one seems to take ownership of my complaint. Kindly look into it soon.,Customer Support,medium
I can’t access my account despite entering the correct password. Kindly look into it soon. It's quite frustrating.,Account Issue,high
The webwebsite isn’t responding when I click on certain links. I need immediate assistance. It's very urgent.,Technical Issue,low
I requested a refund but haven't received it yet. Kindly look into it soon. It's quite frustrating.,Payment Issue,medium
It seems like i’ve submitted multiple tickets but no one responds. kindly look into it soon.,Customer Support,low
My profile details got changed without my knowledge. Kindly look into it soon.,Account Issue,high
Faced an issue: My payment was deducted but the order didn’t go through.,Payment Issue,medium
Having trouble because this is urgent. i requested a refund but haven't received it yet. please resolve this asap.,Payment Issue,high
Faced an issue: I waited the whole day but the delivery never happened.,Delivery Delay,high
Having trouble because this is not the product i paid for. i need immediate assistance. it's very urgent.,Wrong Item,low
Having trouble because i’m unable to update my email or phone number. i need immediate assistance. it's very urgent.,Account Issue,low
Technical support hasn’t resolved my issue after multiple attempts. Kindly look into it soon.,Technical Issue,low
Faced an issue: It says my account doesn't exist when I try to log in. Kindly look into it soon.,Login Trouble,medium
Faced an issue: This is not the product I paid for.,Wrong Item,high
"It seems like this is urgent. every time i open the app, it crashes unexpectedly. please resolve this asap.",Technical Issue,medium
Having trouble because some buttons don’t respond when tapped. i need immediate assistance. it's very urgent.,App Bug,high
Having trouble because the delivery was promised within 3 days but it's been over a week. kindly look into it soon.,Delivery Delay,medium
Faced an issue: I received a different color and size than what I ordered.,Wrong Item,low
I reset my password but still can’t access my account. Kindly look into it soon.,Login Trouble,medium
It seems like there are unauthorized activities showing up in my account. i need immediate assistance. it's very urgent.,Account Issue,medium
Having trouble because this is urgent. there’s no tracking update for my order. please resolve this asap.,Delivery Delay,medium
There are unauthorized activities showing up in my account. I need immediate assistance. It's very urgent. It's quite frustrating.,Account Issue,low
I was charged twice for the same transaction. It's quite frustrating.,Payment Issue,low
Having trouble because they keep closing my ticket without a resolution. kindly look into it soon.,Customer Support,high
I was charged twice for the same transaction. Kindly look into it soon. It's quite frustrating.,Payment Issue,medium
There are unauthorized activities showing up in my account.,Account Issue,medium
This is urgent. I waited the whole day but the delivery never happlicationened. Please resolve this ASAP.,Delivery Delay,high
This is urgent. I’ve submitted multiple tickets but no one responds. Please resolve this ASAP.,Customer Support,low
"This is urgent. My card was declined without any reason, even though it's active. Please resolve this ASAP. It's quite frustrating.",Payment Issue,low
Faced an issue: I waited the whole day but the delivery never happened.,Delivery Delay,medium
I’ve submitted multiple tickets but no one responds. I need immediate assistance. It's very urgent.,Customer Support,low
The item arrived broken and unusable. I need immediate assistance. It's very urgent. It's quite frustrating.,Product Damage,low
I requested a refund but haven't received it yet. It's quite frustrating.,Payment Issue,high
"My card was declined without any reason, even though it's active. Kindly look into it soon.",Payment Issue,low
The resolution time is way too long for such a basic issue. I need immediate assistance. It's very urgent. It's quite frustrating.,Service Issue,low
I keep getting logged out every few minutes. Kindly look into it soon. It's quite frustrating.,Login Trouble,medium
I’ve submitted multiple tickets but no one responds. I need immediate assistance. It's very urgent. It's quite frustrating.,Customer Support,medium
Having trouble because the resolution time is way too long for such a basic issue. i need immediate assistance. it's very urgent.,Service Issue,medium
Having trouble because this is urgent. i requested a refund but haven't received it yet. please resolve this asap.,Payment Issue,medium
"This is urgent. Instead of a phone, I got a pair of headphones. Please resolve this ASAP. It's quite frustrating.",Wrong Item,medium
It seems like the box contained something completely unrelated. kindly look into it soon.,Wrong Item,medium
"It seems like this is urgent. my order slip is correct, but the item is wrong. please resolve this asap.",Wrong Item,medium
It seems like this is urgent. i waited the whole day but the delivery never happened. please resolve this asap.,Delivery Delay,medium
Having trouble because the support team gave me incorrect information. i need immediate assistance. it's very urgent.,Service Issue,high
Technical support hasn’t resolved my issue after multiple attempts. I need immediate assistance. It's very urgent.,Technical Issue,high
My account was suspended without any notification.,Account Issue,high
The packaging was torn and the contents were damaged. I need immediate assistance. It's very urgent.,Product Damage,high
No one seems to take ownership of my complaint. I need immediate assistance. It's very urgent.,Customer Support,medium
The website isn’t responding when I click on certain links. I need immediate assistance. It's very urgent. It's quite frustrating.,Technical Issue,low
It seems like i'm facing constant glitches while navigating the dashboard. kindly look into it soon.,Technical Issue,high
It seems like i had to wait for 40 minutes to talk to someone.,Service Issue,medium
It seems like i reset my password but still can’t access my account. kindly look into it soon.,Login Trouble,medium
It seems like my two-factor authentication code never arrives. i need immediate assistance. it's very urgent.,Login Trouble,medium
I can’t update the app from the store. I need immediate assistance. It's very urgent.,App Bug,low
Faced an issue: There’s no tracking update for my order. Kindly look into it soon.,Delivery Delay,low
Having trouble because this is urgent. i can’t access my account despite entering the correct password. please resolve this asap.,Account Issue,medium
Faced an issue: There are scratches and dents all over the product. Kindly look into it soon.,Product Damage,high
Faced an issue: I keep getting logged out every few minutes. I need immediate assistance. It's very urgent.,Login Trouble,medium
It seems like this is urgent. i’ve submitted multiple tickets but no one responds. please resolve this asap.,Customer Support,medium
"My order slip is correct, but the item is wrong. I need immediate assistance. It's very urgent. It's quite frustrating.",Wrong Item,low
It seems like the resolution time is way too long for such a basic issue. kindly look into it soon.,Service Issue,low
It seems like this is urgent. the representative was rude and unhelpful. please resolve this asap.,Service Issue,high
This is urgent. I can’t update the application from the store. Please resolve this ASAP.,App Bug,medium
"Every time I reach out, I get a different answer. I need immediate assistance. It's very urgent.",Service Issue,high
It seems like i was charged twice for the same transaction. i need immediate assistance. it's very urgent.,Payment Issue,high
"Every time I reach out, I get a different answer. I need immediate assistance. It's very urgent.",Service Issue,low
I’m unable to update my email or phone number. Kindly look into it soon.,Account Issue,low
It seems like i had to wait for 40 minutes to talk to someone.,Service Issue,medium
Having trouble because this is urgent. i had to wait for 40 minutes to talk to someone. please resolve this asap.,Service Issue,medium
Having trouble because i had to wait for 40 minutes to talk to someone.,Service Issue,high
Customer service keeps transferring my call.,Customer Support,medium
Faced an issue: My issue hasn’t been resolved for over a month.,Customer Support,low
Faced an issue: This is urgent. The support team gave me incorrect information. Please resolve this ASAP.,Service Issue,low
It seems like the system keeps freezing when i try to upload my documents. kindly look into it soon.,Technical Issue,medium
Having trouble because my payment was deducted but the order didn’t go through.,Payment Issue,low
I'm facing constant glitches while navigating the dashboard.,Technical Issue,high
There are scratches and dents all over the product. It's quite frustrating.,Product Damage,high
This is not the product I paid for. I need immediate assistance. It's very urgent.,Wrong Item,low
Faced an issue: I’m unable to update my email or phone number. I need immediate assistance. It's very urgent.,Account Issue,high
I requested a refund but haven't received it yet.,Payment Issue,high
Faced an issue: This is not the product I paid for. I need immediate assistance. It's very urgent.,Wrong Item,high
This is urgent. Some buttons don’t respond when tapped. Please resolve this ASAP. It's quite frustrating.,App Bug,medium
Having trouble because the delivery was promised within 3 days but it's been over a week. i need immediate assistance. it's very urgent.,Delivery Delay,low
I can’t access my account despite entering the correct password.,Account Issue,medium
I requested a refund but haven't received it yet.,Payment Issue,high
The delivery was promised within 3 days but it's been over a week.,Delivery Delay,high
It seems like this is urgent. i received a different color and size than what i ordered. please resolve this asap.,Wrong Item,high
Having trouble because it looks like the product was previously used. kindly look into it soon.,Product Damage,low
Faced an issue: I keep getting logged out every few minutes. I need immediate assistance. It's very urgent.,Login Trouble,high
I received a different color and size than what I ordered. I need immediate assistance. It's very urgent.,Wrong Item,high
My account was suspended without any notification.,Account Issue,medium
It seems like there are scratches and dents all over the product.,Product Damage,low
There’s no tracking update for my order. Kindly look into it soon. It's quite frustrating.,Delivery Delay,low
I had to wait for 40 minutes to talk to someone. It's quite frustrating.,Service Issue,high
"My card was declined without any reason, even though it's active.",Payment Issue,medium
Faced an issue: Push notifications are not working properly. I need immediate assistance. It's very urgent.,App Bug,medium
It seems like the packaging was torn and the contents were damaged.,Product Damage,high
"It seems like my order slip is correct, but the item is wrong. i need immediate assistance. it's very urgent.",Wrong Item,medium
"My card was declined without any reason, even though it's active.",Payment Issue,low
I keep getting logged out every few minutes. I need immediate assistance. It's very urgent. It's quite frustrating.,Login Trouble,low
Faced an issue: This is urgent. Push notifications are not working properly. Please resolve this ASAP.,App Bug,low
This is urgent. The website isn’t responding when I click on certain links. Please resolve this ASAP.,Technical Issue,low
Having trouble because this is urgent. the app layout is broken on my phone. please resolve this asap.,App Bug,low
"My order slip is correct, but the item is wrong. Kindly look into it soon.",Wrong Item,medium
This is urgent. I can’t update the app from the store. Please resolve this ASAP. It's quite frustrating.,App Bug,high
Faced an issue: It looks like the product was previously used. I need immediate assistance. It's very urgent.,Product Damage,medium
Having trouble because this is urgent. i can’t access my account despite entering the correct password. please resolve this asap.,Account Issue,low
Some buttons don’t respond when tapplicationed. Kindly look into it soon.,App Bug,high
The website isn’t responding when I click on certain links. I need immediate assistance. It's very urgent.,Technical Issue,medium
"It seems like my order slip is correct, but the item is wrong. kindly look into it soon.",Wrong Item,medium
The box contained something completely unrelated. Kindly look into it soon. It's quite frustrating.,Wrong Item,high
Faced an issue: My payment was deducted but the order didn’t go through.,Payment Issue,medium
It seems like the item arrived broken and unusable.,Product Damage,medium
It seems like the packaging was torn and the contents were damaged. i need immediate assistance. it's very urgent.,Product Damage,low
It seems like this is urgent. i’m unable to update my email or phone number. please resolve this asap.,Account Issue,low
Faced an issue: The representative was rude and unhelpful. Kindly look into it soon.,Service Issue,high
"It seems like this is urgent. every time i open the app, it crashes unexpectedly. please resolve this asap.",Technical Issue,medium
"It seems like instead of a phone, i got a pair of headphones. i need immediate assistance. it's very urgent.",Wrong Item,medium
This is urgent. Customer service keeps transferring my call. Please resolve this ASAP.,Customer Support,low
It seems like this is urgent. there are unauthorized activities showing up in my account. please resolve this asap.,Account Issue,low
